"species","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"Lagothrix.flavicauda",-77.61006081,-5.623244069,213.924373970296,95.0723618232345,75.6069106316173,512.012957951963,276.924373970296,151.924373970296,125,213.782914530296,208.847682817914,220.847682817914,207.924373970296,1326.67517938517,141.271146328765,77.8132886727643,16.4578576560002,395.439866018293,261.58891899391,346.671979546294,265.135390667058
"Lagothrix.flavicauda",-77.9071226,-5.598229972,180.250121369803,106.19373428955,80.5032807447753,454.569287158703,246.017783025029,115.327329480254,130.690453544774,179.392602041803,173.663544441804,186.288725425029,173.663544441804,1177.98067680205,129.09122705445,67.2603762327735,19.818915272775,358.51395037935,230.530052718447,300.410073762575,230.530052718447
"Lagothrix.flavicauda",-77.88606295,-5.769133455,178.050804682568,107.725131730696,81.2249227253482,443.749838455598,244.285293882568,112.050804682568,132.2344892,178.285293882568,171.285293882568,183.285293882568,171.285293882568,1033.1316069493,122.509775479999,53.356880439999,24.2249227253482,323.510084274651,179.183048074649,273.306098874652,179.183048074649
"Lagothrix.flavicauda",-77.84692115,-5.623329243,172.330328866688,106.938224632001,80.8261076000002,437.711770524065,238.236409900019,107.044319434687,131.192090465332,172.236409900019,166.330328866688,178.330328866688,166.330328866688,1155.67414462137,128.521900102668,66.3342850719989,20.3659828653313,352.46775171201,224.538700852003,294.735563078679,224.538700852003
"Lagothrix.flavicauda",-77.74651609,-5.862235881,138.212153261193,114.118975363725,82,455.744242704543,206.715129281101,68.5961539173762,138.118975363725,139.131515441102,131.212153261193,143.628539421193,131.212153261193,1111.46946207167,139.768697639448,55.2888334517233,26.6906851240921,353.684141534711,181.31065740726,308.247273950526,181.31065740726
"Lagothrix.flavicauda",-77.62456363,-5.818765031,139.440105305453,113.079607290144,81.4159214580287,462.756160190428,207.271948221511,69.6082623893958,137.663685832115,139.856026763482,132.440105305453,145.440105305453,132.440105305453,1193.79082881943,144.861642512344,62.4813137342,23.808044947943,371.054238014888,205.827851306714,328.615159039232,205.827851306714
"Lagothrix.flavicauda",-77.902111,-5.66525,172.617830032006,107.919545424,81.4535454239995,441.794329552,238.688039456006,107.222039456006,131.466,172.617830032006,166.222039456006,178.617830032006,166.222039456006,1102.939012064,125.148454576,61.4513359999987,22.3153359999997,339.895146304,207.498699727997,282.881138304002,207.498699727997
"Lagothrix.flavicauda",-78.000417,-5.993917,166.48788726379,113.166634912067,82.1934770879366,446.91238697747,234.042458175855,97.0693003517246,136.973157824131,167.48788726379,159.62387126379,171.797332351726,159.62387126379,912.94177053567,119.373229856839,38.4527745603227,31.8569301758723,302.05032009813,128.625688801607,262.256655394642,128.625688801607
"Lagothrix.flavicauda",-77.873194,-5.811028,172.779728065534,108.903304284161,81.4597185136642,446.91073012019,239.239446579199,105.815056065534,133.424390513664,173.239446579199,166.239446579199,178.763595322367,166.239446579199,993.786593836017,121.157343999999,50.1251792568311,26.3890625136647,314.987093945341,167.047842972668,262.260328918011,167.047842972668
"Lagothrix.flavicauda",-77.906194,-5.689139,172.888154867588,108,81,447.890520620787,239.127029735172,107.127029735172,132,172.878373735172,166.127029735172,178.848818867587,166.127029735172,1081.59027833792,123.950882867584,59.5939999999987,22.7906799999998,335.241733735167,200.279311999997,278.105709735169,200.279311999997
